ID,Block,Set,Choice,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12
20,10,4,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,10,4,1,0,0,1,0,0,0,0,0,0,0,0,0
20,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0
20,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0
20,10,5,0,0,0,0,-1,0,0,0,0,0,0,0,0
20,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0
20,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0
20,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0
20,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0
20,10,6,0,0,0,0,0,1,0,0,0,0,0,0,0
20,10,6,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0
24,4,1,0,0,0,0,0,0,-1,0,0,0,0,0,0
24,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0
24,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0,-1,0,0,0,0,0,0
24,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0
24,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0
24,4,3,0,-1,0,0,0,0,0,0,0,0,0,0,0
24,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0
24,4,4,0,0,0,0,0,0,0,-1,0,0,0,0,0
24,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0
24,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0
24,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0
24,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0
24,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
24,4,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
24,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0
24,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0
24,4,6,0,0,0,0,0,0,0,0,0,0,0,-1,0
24,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0
24,4,6,1,0,0,0,1,0,0,0,0,0,0,0,0
30,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
30,10,1,1,0,0,1,0,0,0,0,0,0,0,0,0
30,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
30,10,1,0,0,0,0,0,0,0,0,0,0,-1,0,0
30,10,2,0,0,0,0,0,0,0,-1,0,0,0,0,0
30,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1
30,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0
30,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0
30,10,3,1,0,0,0,1,0,0,0,0,0,0,0,0
30,10,3,0,0,0,0,0,0,0,-1,0,0,0,0,0
30,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0
30,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0
30,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1
30,10,4,0,0,0,0,0,0,0,0,0,0,-1,0,0
30,10,4,1,0,0,1,0,0,0,0,0,0,0,0,0
30,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0
30,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0
30,10,5,1,0,0,0,1,0,0,0,0,0,0,0,0
30,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0
30,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0
30,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0
30,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0
30,10,6,0,0,0,0,0,1,0,0,0,0,0,0,0
30,10,6,0,0,0,0,0,0,0,0,0,0,0,-1,0
31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
31,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0
31,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
31,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1,2,0,0,0,0,0,-1,0,0,0,0,0,0,0
31,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
31,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
31,1,3,0,0,0,0,0,0,0,0,0,-1,0,0,0
31,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
31,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0
31,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0
31,1,4,0,0,0,0,0,0,0,0,0,-1,0,0,0
31,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1,5,0,0,0,0,0,0,0,-1,0,0,0,0,0
31,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0
31,1,6,0,0,0,0,0,0,-1,0,0,0,0,0,0
31,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1
31,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0
46,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0
46,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
46,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0
46,6,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
46,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0
46,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0
46,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0
46,6,2,0,0,0,0,0,0,0,0,0,0,-1,0,0
46,6,3,0,0,0,0,0,0,-1,0,0,0,0,0,0
46,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0
46,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0
46,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0
